asema	pvm	biomassa
4	2015-07-23	10.4562
4	2015-07-23	546.1644
4	2015-07-23	3.5298
4	2015-07-23	1.4053
4	2015-07-23	0.3007
4	2015-07-23	3.8362
4	2015-07-23	17.1269
4	2015-07-23	11.5195
4	2015-07-23	0.6027
4	2015-07-23	2.4009
4	2015-07-23	10.7892
4	2015-07-23	0.5574
4	2015-07-23	426.6478
4	2015-07-23	2.846
4	2015-07-23	6.6187
4	2015-07-23	43.9713
4	2015-07-23	6.7914
4	2015-07-23	3.5258
4	2015-07-23	28.4029
4	2015-07-23	0.6331
4	2015-07-23	0.4455
4	2015-07-23	0.0575
4	2015-07-23	12.9209
4	2015-07-23	9.8901
4	2015-07-23	0.4216
4	2015-07-23	5.4216
4	2015-07-23	2.0719
4	2015-07-23	0.5677
4	2015-07-23	210.476
4	2015-07-23	14.8175
4	2015-07-23	3.6497
4	2015-07-23	203.3887
4	2015-07-23	3.4063
4	2015-07-23	8.8142
4	2015-07-23	36.8346
4	2015-08-20	10.1884
4	2015-08-20	31.3702
4	2015-08-20	0.1249
4	2015-08-20	1.4575
4	2015-08-20	28.3166
4	2015-08-20	56.0288
4	2015-08-20	1.958
4	2015-08-20	3.7562
4	2015-08-20	1.6783
4	2015-08-20	1.7448
4	2015-08-20	0.4229
4	2015-08-20	3.1856
4	2015-08-20	100.4634
4	2015-08-20	21.9856
4	2015-08-20	22.3063
4	2015-08-20	1.6484
4	2015-08-20	22.7914
4	2015-08-20	1.4652
4	2015-08-20	79.8065
4	2015-08-20	41.9973
4	2015-08-20	5.6275
4	2015-08-20	1135.5986
4	2015-08-20	177.2663
4	2015-08-20	46.1295
4	2015-08-20	1068.205
4	2015-08-20	681.048
4	2015-08-20	15.5914
4	2015-08-20	8.3393
4	2015-08-20	46.8737
4	2015-08-20	5.3946
4	2015-08-20	6.1129
4	2015-08-20	9.4964
4	2015-08-20	0.9158
4	2015-08-20	20.3741
4	2015-08-20	31.3065
4	2015-08-20	0.0383
4	2015-08-20	0.1255
4	2015-08-20	51.6605
4	2015-08-20	1.6115
4	2015-08-20	1.2691
4	2015-08-20	12.518
4	2015-08-20	16.2302
4	2015-08-20	0.2227
4	2015-08-20	0.0759
4	2015-08-20	18.0892
4	2015-08-20	10.3597
4	2015-08-20	1.6259
4	2015-08-20	0.5677
4	2015-08-20	306.5931
4	2015-08-20	12.7604
4	2015-08-20	318.5826
4	2015-08-20	2.8386
4	2015-08-20	58.9353
4	2015-08-20	21.9281
4	2015-09-16	7.2873
4	2015-09-16	1.3048
4	2015-09-16	6.1769
4	2015-09-16	0.2499
4	2015-09-16	0.7287
4	2015-09-16	103.6548
4	2015-09-16	4.6154
4	2015-09-16	31.8223
4	2015-09-16	9.7842
4	2015-09-16	161.1195
4	2015-09-16	32.9784
4	2015-09-16	44.4605
4	2015-09-16	364.6621
4	2015-09-16	286.8587
4	2015-09-16	108.0159
4	2015-09-16	6.9262
4	2015-09-16	929.7853
4	2015-09-16	1.6657
4	2015-09-16	359.747
4	2015-09-16	3.0741
4	2015-09-16	8.365
4	2015-09-16	116.5641
4	2015-09-16	194.8922
4	2015-09-16	17.2285
4	2015-09-16	0.8258
4	2015-09-16	81.3814
4	2015-09-16	10.7892
4	2015-09-16	9.4964
4	2015-09-16	1.8315
4	2015-09-16	1570.6956
4	2015-09-16	0.2601
4	2015-09-16	0.1255
4	2015-09-16	32.8748
4	2015-09-16	1.2731
4	2015-09-16	7.7145
4	2015-09-16	0.8159
4	2015-09-16	9.7858
4	2015-09-16	6.2366
4	2015-09-16	12.9209
4	2015-09-16	4.1439
4	2015-09-16	1.6259
4	2015-09-16	2.2619
4	2015-09-16	0.4359
4	2015-09-16	22.8571
4	2015-09-16	33.3807
4	2015-09-16	496.8169
4	2015-09-16	12.4898
4	2015-09-16	70.5134
4	2015-09-16	110.5037
4	2015-09-16	3.125
4	2015-10-19	1.4505
4	2015-10-19	7.2873
4	2015-10-19	0.5448
4	2015-10-19	23.9471
4	2015-10-19	174.0116
4	2015-10-19	42.8202
4	2015-10-19	29.4101
4	2015-10-19	32.4207
4	2015-10-19	26.5899
4	2015-10-19	10.7892
4	2015-10-19	1.958
4	2015-10-19	164.1173
4	2015-10-19	4.539
4	2015-10-19	72.9378
4	2015-10-19	0.5123
4	2015-10-19	14.6763
4	2015-10-19	2.5324
4	2015-10-19	3.3899
4	2015-10-19	5.4216
4	2015-10-19	0.451
4	2015-10-19	0.1399
4	2015-10-19	56.9785
4	2015-10-19	1200.504
4	2015-10-19	1.5655
4	2015-10-19	2.5462
4	2015-10-19	14.5036
4	2015-10-19	0.0886
4	2015-10-19	4.6774
4	2015-10-19	0.0436
4	2015-10-19	2.5842
4	2015-10-19	0.2817
4	2015-10-19	36.1904
4	2015-10-19	13.8959
4	2015-10-19	1.5951
4	2015-10-19	172.0048
4	2015-10-19	2.2709
4	2015-10-19	71.4821
4	2015-10-19	10.964
4	2015-10-19	0.5085
25	2014-04-15	3.4143
25	2014-04-15	14.3304
25	2014-04-15	115.1759
25	2014-04-15	102.0425
25	2014-04-15	18.7146
25	2014-04-15	50.5882
25	2014-04-15	1.1775
25	2014-04-15	89.2873
25	2014-04-15	4.539
25	2014-04-15	60.1994
25	2014-04-15	165.2262
25	2014-04-15	50.9157
25	2014-04-15	42.9731
25	2014-04-15	8.1148
25	2014-04-15	57.1923
25	2014-04-15	47.8257
25	2014-04-15	92.4641
25	2014-04-15	63.6237
25	2014-04-15	84.7741
25	2014-04-15	1.0959
25	2014-04-15	1.4386
25	2014-04-15	2.6343
25	2014-04-15	32.5744
25	2014-04-15	264.5953
25	2014-04-15	3.8192
25	2014-04-15	3.597
25	2014-04-15	4.997
25	2014-04-15	0.2014
25	2014-04-15	0.9096
25	2014-04-15	0.5677
25	2014-04-15	81.9047
25	2014-04-15	177.631
25	2014-04-15	329.4136
25	2014-04-15	26.0423
25	2014-04-15	92.7752
25	2014-04-15	36.8333
25	2014-05-12	2.5435
25	2014-05-12	5.8847
25	2014-05-12	1.3381
25	2014-05-12	1.4273
25	2014-05-12	119.1144
25	2014-05-12	13.7612
25	2014-05-12	1.026
25	2014-05-12	11.5823
25	2014-05-12	44.6316
25	2014-05-12	0.969
25	2014-05-12	2.2984
25	2014-05-12	2.48
25	2014-05-12	26.8288
25	2014-05-12	3.1797
25	2014-05-12	28.4639
25	2014-05-12	6.2162
25	2014-05-12	6.971
25	2014-05-12	1.1179
25	2014-05-12	0.782
25	2014-05-12	0.777
25	2014-05-12	0.777
25	2014-05-12	39.049
25	2014-05-12	21.582
25	2014-05-12	0.5853
25	2014-05-12	5.7287
25	2014-05-12	2.7193
25	2014-05-12	0.3014
25	2014-05-12	3.1738
25	2014-05-12	1.4428
25	2014-05-12	3.1407
25	2014-05-12	17.446
25	2014-05-12	50.5933
25	2014-05-12	97.346
25	2014-05-12	32.2525
25	2014-05-12	15.6262
25	2014-05-12	1.8417
25	2014-05-12	0.2712
25	2014-06-03	9.0536
25	2014-06-03	1.3054
25	2014-06-03	0.2908
25	2014-06-03	3.8428
25	2014-06-03	6.7515
25	2014-06-03	3.6244
25	2014-06-03	4.9451
25	2014-06-03	14.6098
25	2014-06-03	50.4701
25	2014-06-03	0.1472
25	2014-06-03	117.9088
25	2014-06-03	21.6175
25	2014-06-03	10.3161
25	2014-06-03	1.3038
25	2014-06-03	1.72
25	2014-06-03	4.8059
25	2014-06-03	0.2797
25	2014-06-03	16.1838
25	2014-06-03	5.2241
25	2014-06-03	170.0045
25	2014-06-03	2.4985
25	2014-06-03	0.8004
25	2014-06-03	13.7102
25	2014-06-03	9.2971
25	2014-06-03	2.7413
25	2014-06-03	0.3157
25	2014-06-03	2.4527
25	2014-06-03	5.6661
25	2014-06-03	13.3333
25	2014-06-03	106.6306
25	2014-06-03	14.0693
25	2014-06-03	53.7818
25	2014-06-03	27.5394
25	2014-06-23	7.2873
25	2014-06-23	3.0884
25	2014-06-23	0.0433
25	2014-06-23	8.4848
25	2014-06-23	2.5936
25	2014-06-23	2.1237
25	2014-06-23	36.3971
25	2014-06-23	8.777
25	2014-06-23	147.0505
25	2014-06-23	28.2051
25	2014-06-23	60.777
25	2014-06-23	69.4101
25	2014-06-23	8.2584
25	2014-06-23	433.9908
25	2014-06-23	4.539
25	2014-06-23	50.8777
25	2014-06-23	30.1007
25	2014-06-23	25.7223
25	2014-06-23	15.8841
25	2014-06-23	21.0669
25	2014-06-23	5.0849
25	2014-06-23	1.4245
25	2014-06-23	88.2878
25	2014-06-23	0.6194
25	2014-06-23	0.8342
25	2014-06-23	117.4102
25	2014-06-23	7.4955
25	2014-06-23	1.821
25	2014-06-23	1.5655
25	2014-06-23	14.004
25	2014-06-23	2.0719
25	2014-06-23	25.7842
25	2014-06-23	6.4593
25	2014-06-23	18.1871
25	2014-06-23	2.4527
25	2014-06-23	1.3076
25	2014-06-23	36.1904
25	2014-06-23	118.2221
25	2014-06-23	19.4971
25	2014-06-23	109.6567
25	2014-06-23	76.4954
25	2014-06-23	7.3669
25	2014-06-23	4.3396
25	2014-07-01	7.2873
25	2014-07-01	0.7773
25	2014-07-01	3.051
25	2014-07-01	0.3203
25	2014-07-01	19.5804
25	2014-07-01	1.454
25	2014-07-01	2.1237
25	2014-07-01	64.2907
25	2014-07-01	91.8547
25	2014-07-01	13.3366
25	2014-07-01	4.8058
25	2014-07-01	0.3796
25	2014-07-01	37.9856
25	2014-07-01	48.0576
25	2014-07-01	520.0644
25	2014-07-01	9.0779
25	2014-07-01	41.2771
25	2014-07-01	14.744
25	2014-07-01	1.6657
25	2014-07-01	12.1698
25	2014-07-01	9.028
25	2014-07-01	0.1865
25	2014-07-01	20.3741
25	2014-07-01	0.6194
25	2014-07-01	0.8342
25	2014-07-01	64.7482
25	2014-07-01	17.4896
25	2014-07-01	1.821
25	2014-07-01	4.6964
25	2014-07-01	21.6426
25	2014-07-01	11.6835
25	2014-07-01	5.5683
25	2014-07-01	5.6639
25	2014-07-01	4.0878
25	2014-07-01	4.997
25	2014-07-01	5.2302
25	2014-07-01	1.1354
25	2014-07-01	19.0476
25	2014-07-01	151.3054
25	2014-07-01	3.2168
25	2014-07-01	42.5843
25	2014-07-01	7.3669
25	2014-07-15	1.4505
25	2014-07-15	0.2915
25	2014-07-15	4.7194
25	2014-07-15	0.6527
25	2014-07-15	0.4359
25	2014-07-15	11.2687
25	2014-07-15	61.6783
25	2014-07-15	1.454
25	2014-07-15	4.8921
25	2014-07-15	8.4949
25	2014-07-15	149.6404
25	2014-07-15	10.9928
25	2014-07-15	4.0293
25	2014-07-15	76.6619
25	2014-07-15	54.2801
25	2014-07-15	108.9349
25	2014-07-15	19.0792
25	2014-07-15	15.0504
25	2014-07-15	23.25
25	2014-07-15	30.7256
25	2014-07-15	3.2518
25	2014-07-15	12.4317
25	2014-07-15	13.4532
25	2014-07-15	0.9923
25	2014-07-15	0.979
25	2014-07-15	6.7914
25	2014-07-15	0.8342
25	2014-07-15	81.2831
25	2014-07-15	12.4925
25	2014-07-15	1.3007
25	2014-07-15	3.1309
25	2014-07-15	31.8274
25	2014-07-15	17.3507
25	2014-07-15	2.0719
25	2014-07-15	7.6547
25	2014-07-15	4.6774
25	2014-07-15	0.3157
25	2014-07-15	3.2703
25	2014-07-15	9.6193
25	2014-07-15	0.5677
25	2014-07-15	4.9451
25	2014-07-15	110.9698
25	2014-07-15	1.5951
25	2014-07-15	111.3488
25	2014-07-15	18.4748
25	2014-07-15	8.8142
25	2014-07-15	16.4766
25	2014-07-15	1.0849
25	2014-08-04	1.4505
25	2014-08-04	7.2873
25	2014-08-04	10.2022
25	2014-08-04	8.9738
25	2014-08-04	1.4575
25	2014-08-04	23.5971
25	2014-08-04	0.4359
