asema	pvm	paiva	kk	vuosi	kokosyv	secchi	ecoli	sameus	ph	suolaisuus	happi_aste	happi	nh3	no3	ntot	po4_liu	ptot	chla	lampotila	jaan_paks	lumen_paks	syvyys	syvyys_lop	no2	po4	koliformit	fek_strep	kiintoain	pt	tic	alkalit
4	2013-03-26	26	3	2013	NA	NA	250	18	7.31	0.1	84	12.2	52.1435	1500	2000	19	60.225	NA	0.3	NA	NA	2	2	5.16	35	NA	NA	NA	NA	NA	NA
4	2013-04-26	26	4	2013	NA	NA	690	79	7.2	0	99	12.4	67	1900	2500	17	159	1.9	5.6	NA	NA	0	0	6	34	NA	NA	NA	NA	NA	NA
4	2013-04-26	26	4	2013	NA	NA	610	81	7.1	0	100	12.6	68	1900	2500	17	155	NA	5.6	NA	NA	2	2	6	47	NA	NA	NA	NA	NA	NA
4	2013-05-08	8	5	2013	NA	0.3	93	45.4	7.35	0	98	10.62	31.232	1234	2080	15.5	106.81	3.3	11.9	NA	NA	0	0	0	38.48	NA	NA	NA	NA	NA	NA
4	2013-05-08	8	5	2013	NA	NA	91	45.7	7.34	0	97	10.85	38.58	1200	2012	15.3	109.45	NA	10.8	NA	NA	2	2	0	39.7595	NA	NA	NA	NA	NA	NA
4	2013-06-10	10	6	2013	NA	0.8	2	13.7	8.45	2.91	114	9.69	0	15	723	0.6	59.01	56.2	21	NA	NA	0	0	0	6	NA	NA	NA	NA	NA	NA
4	2013-06-10	10	6	2013	NA	NA	2	13.7	8.47	2.91	122	10.64	0	14	724	1	62.61	NA	21.2	NA	NA	2	2	0	6	NA	NA	NA	NA	NA	NA
4	2013-06-28	28	6	2013	NA	0.6	3	11.3	8.18	3.27	105	9.22	0	4	640	0.1	53.41	20.4	20.8	NA	NA	0	0	0	6.96	NA	NA	NA	NA	NA	NA
4	2013-06-28	28	6	2013	NA	NA	11	22	7.77	3.73	84	7.54	11.09	8	616	0.5	71.065	NA	20	NA	NA	2	2	0	14	NA	NA	NA	NA	NA	NA
4	2013-07-10	10	7	2013	NA	0.7	2	12.8	8.13	3.59	NA	9.71	0	2	637	0.4	57.13	30.1	18.7	NA	NA	0	0	0	8	NA	NA	NA	NA	NA	NA
4	2013-07-10	10	7	2013	NA	NA	4	12.8	8.11	3.59	NA	9.53	0	2	635	0.3	57.73	NA	18.6	NA	NA	2	2	0	7	NA	NA	NA	NA	NA	NA
4	2013-08-07	7	8	2013	NA	0.6	4	10.3	8.23	3.9	123	10.55	0	2	606	0	41.845	22.6	22	NA	NA	0	0	0	5	NA	NA	NA	NA	NA	NA
4	2013-08-07	7	8	2013	NA	NA	1	14.2	7.86	4.31	98	8.48	0	3	620	0	46.46	NA	20.8	NA	NA	2	2	0	7	NA	NA	NA	NA	NA	NA
4	2013-09-02	2	9	2013	NA	0.8	44	10.8	8.31	3.2403	105	10.11	0	51	670	0.5	48.055	31.7	16.7	NA	NA	0	0	0	6.037	NA	NA	NA	NA	NA	NA
4	2013-09-02	2	9	2013	NA	NA	30	11.3	8.3	3.163	107	10.22	0	50	690	0.4	52.525	NA	16.7	NA	NA	2	2	0	9.427	NA	NA	NA	NA	NA	NA
4	2013-10-16	16	10	2013	NA	NA	10	12.8	7.8	3.53	93	10.84	0	442	970	4	55.285	NA	7.8	NA	NA	0	0	0	11	NA	NA	NA	NA	NA	NA
4	2013-10-16	16	10	2013	NA	NA	4	13.4	7.76	3.66	77	8.9	0.3975	426	920	4	56.165	NA	7.9	NA	NA	2	2	0	12	NA	NA	NA	NA	NA	NA
4	2013-10-16	16	10	2013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.9	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
4	2013-11-18	18	11	2013	NA	NA	210	77.6	7.39	0.71	94	12.29	38.278	2171	2947	18.1	94.77	NA	4	NA	NA	0	0	0	54.15	NA	NA	NA	NA	NA	NA
4	2013-11-18	18	11	2013	NA	NA	250	76.8	7.42	0.8	95	12.36	38.197	2170	2898	17.85	88.46	NA	4	NA	NA	2	2	0	55.65	NA	NA	NA	NA	NA	NA
114	2012-01-01	1	1	2012	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
114	2012-01-01	1	1	2012	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47	47	NA	NA	NA	NA	NA	NA	NA	NA
114	2012-02-01	1	2	2012	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
114	2012-02-01	1	2	2012	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47	47	NA	NA	NA	NA	NA	NA	NA	NA
114	2012-03-30	30	3	2012	48	6.9	0	0.57	7.87	5.5475	NA	12.67	1.334	140	410	28	36	NA	1.9	NA	NA	0	0	2.47	28	NA	NA	NA	NA	NA	NA
114	2012-03-30	30	3	2012	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.7	1.9	NA	NA	0	4	NA	NA	NA	NA	NA	NA	NA	NA
114	2012-03-30	30	3	2012	48	NA	0	0.53	7.87	5.3935	NA	12.59	0	140	420	29	37	NA	1.9	NA	NA	5	5	2.39	29	NA	NA	NA	NA	NA	NA
114	2012-03-30	30	3	2012	48	NA	0	0.55	7.88	5.5313	NA	13.04	0	140	380	28	37	NA	1.9	NA	NA	10	10	2.33	29	NA	NA	NA	NA	NA	NA
114	2012-03-30	30	3	2012	48	NA	0	0.51	7.86	5.5416	NA	12.55	0	140	370	30	37	NA	2.1	NA	NA	20	20	2.015	31	NA	NA	NA	NA	NA	NA
114	2012-03-30	30	3	2012	48	NA	0	0.84	7.85	5.9928	NA	11.81	0	140	380	30	38	NA	2.5	NA	NA	30	30	1.395	30	NA	NA	NA	NA	NA	NA
114	2012-03-30	30	3	2012	48	NA	1	0.6	7.87	5.6254	NA	12.98	0	130	380	29	36	NA	2.1	NA	NA	40	40	2.59	29	NA	NA	NA	NA	NA	NA
114	2012-03-30	30	3	2012	48	NA	0	1.42	7.82	6.218	NA	11.55	0	130	370	30	39	NA	2.8	NA	NA	47	47	1.14	33	NA	NA	NA	NA	NA	NA
114	2012-04-01	1	4	2012	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
114	2012-04-01	1	4	2012	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47	47	NA	NA	NA	NA	NA	NA	NA	NA
114	2012-05-08	8	5	2012	48	2.8	0	2.3	8.42	5.4	NA	14.02	0	2	450	3	39.705	NA	5.6	NA	NA	0	0	0	4.8	NA	NA	NA	NA	NA	NA
114	2012-05-08	8	5	2012	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.5	5.6	NA	NA	0	4	NA	NA	NA	NA	NA	NA	NA	NA
114	2012-05-08	8	5	2012	48	NA	0	2.04	8.4	5.41	NA	12.99	0	2	430	3.4	38.655	NA	5.2	NA	NA	5	5	0	3.6	NA	NA	NA	NA	NA	NA
114	2012-05-08	8	5	2012	48	NA	0	1.58	8.37	5.43	NA	13.4	0	2	360	3.8	27.09	NA	5	NA	NA	10	10	0	4.7	NA	NA	NA	NA	NA	NA
114	2012-05-08	8	5	2012	48	NA	0	1.19	8.27	5.48	NA	13.06	0	2	320	5	21.375	NA	4.6	NA	NA	20	20	0.005	5.5	NA	NA	NA	NA	NA	NA
114	2012-05-08	8	5	2012	48	NA	0	1.04	7.96	5.75	NA	12.11	0.519	34	360	14	29.135	NA	3.5	NA	NA	30	30	1.135	15	NA	NA	NA	NA	NA	NA
114	2012-05-08	8	5	2012	48	NA	0	1.28	7.77	6.14	NA	8.46	1.5415	91	410	25	38.23	NA	3.3	NA	NA	40	40	1.33	25	NA	NA	NA	NA	NA	NA
114	2012-05-08	8	5	2012	48	NA	0	1.49	7.73	6.23	NA	8.78	2.5895	95	400	27	42.545	NA	3.3	NA	NA	47	47	1.27	29	NA	NA	NA	NA	NA	NA
114	2012-05-22	22	5	2012	48	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31.5	8.7	NA	NA	0	4	NA	NA	NA	NA	NA	NA	NA	NA
114	2012-06-06	6	6	2012	48	3	0	1.4	8.47	5.36	NA	12.03	0	0	350	2	27.205	NA	10.8	NA	NA	0	0	0	7	NA	NA	NA	NA	NA	NA
114	2012-06-06	6	6	2012	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.9	10.8	NA	NA	0	4	NA	NA	NA	NA	NA	NA	NA	NA
114	2012-06-06	6	6	2012	48	NA	0	1.09	8.46	5.36	NA	12	0	0	330	2.6	25.06	NA	9.8	NA	NA	5	5	0.165	4	NA	NA	NA	NA	NA	NA
114	2012-06-06	6	6	2012	48	NA	1	0.9	8.44	5.38	NA	12.07	1.1085	0	310	3	22.305	NA	8.9	NA	NA	10	10	0.515	6	NA	NA	NA	NA	NA	NA
114	2012-06-06	6	6	2012	48	NA	0	0.7	8.39	5.45	NA	12.13	0.704	0	270	3	18.395	NA	8.1	NA	NA	20	20	0.25	6	NA	NA	NA	NA	NA	NA
114	2012-06-06	6	6	2012	48	NA	0	1.09	7.87	5.88	NA	10.54	2.921	5	260	12	36.13	NA	5	NA	NA	30	30	1.315	15	NA	NA	NA	NA	NA	NA
114	2012-06-06	6	6	2012	48	NA	0	2.24	7.46	6.54	NA	7.44	8.631	32	340	28	57.195	NA	3.6	NA	NA	40	40	1.97	31	NA	NA	NA	NA	NA	NA
114	2012-06-06	6	6	2012	48	NA	0	3.41	7.55	6.49	NA	7.85	9.2295	45	410	28	71.17	NA	4.8	NA	NA	47	47	1.465	34	NA	NA	NA	NA	NA	NA
114	2012-06-19	19	6	2012	48	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.8	9.7	NA	NA	0	4	NA	NA	NA	NA	NA	NA	NA	NA
114	2012-07-04	4	7	2012	48	4.3	0	1.37	8.27	5.44	NA	9.07	0	0	304	2	16.77	NA	13.7	NA	NA	0	0	0.195	2	NA	NA	NA	NA	NA	NA
114	2012-07-04	4	7	2012	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.3	13.7	NA	NA	0	4	NA	NA	NA	NA	NA	NA	NA	NA
114	2012-07-04	4	7	2012	48	NA	0	0.86	8.34	5.46	NA	10.71	0	0	279	2	16.565	NA	13	NA	NA	5	5	0.31	2	NA	NA	NA	NA	NA	NA
114	2012-07-04	4	7	2012	48	NA	0	0.63	7.91	5.63	NA	10.21	0.5725	0	266	5	17.035	NA	7.7	NA	NA	10	10	0.415	5	NA	NA	NA	NA	NA	NA
114	2012-07-04	4	7	2012	48	NA	0	1.05	7.66	5.92	NA	8.73	0	0	255	14	28.18	NA	6.2	NA	NA	20	20	0.49	14	NA	NA	NA	NA	NA	NA
114	2012-07-04	4	7	2012	48	NA	0	1.09	7.67	5.93	NA	8.81	0	0	264	13	29.53	NA	6.2	NA	NA	30	30	0.495	15	NA	NA	NA	NA	NA	NA
114	2012-07-04	4	7	2012	48	NA	0	1.4	7.54	6.2	NA	8.07	1.11	0	263	21	39.14	NA	5	NA	NA	40	40	0.685	23	NA	NA	NA	NA	NA	NA
114	2012-07-04	4	7	2012	48	NA	0	2.3	7.45	6.42	NA	7.37	13.6035	42	321	32	52.41	NA	4.7	NA	NA	47	47	1.335	36	NA	NA	NA	NA	NA	NA
114	2012-07-20	20	7	2012	48	4.3	1	1.18	8.07	5.53	NA	10.17	0	0	312	4	20.66	NA	13.4	NA	NA	0	0	0	3.9255	NA	NA	NA	NA	NA	NA
114	2012-07-20	20	7	2012	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.7	13.4	NA	NA	0	4	NA	NA	NA	NA	NA	NA	NA	NA
114	2012-07-20	20	7	2012	48	NA	3	1.36	8.05	5.54	NA	11.32	0	0	298	4	18.63	NA	12.6	NA	NA	5	5	0	4.1495	NA	NA	NA	NA	NA	NA
114	2012-07-20	20	7	2012	48	NA	1	1.41	7.99	5.54	NA	9.46	0	0	284	5	16.935	NA	12.1	NA	NA	10	10	0	5.4005	NA	NA	NA	NA	NA	NA
114	2012-07-20	20	7	2012	48	NA	0	0.62	7.7	5.73	NA	9.34	0	0	271	6	18.7	NA	7	NA	NA	20	20	0	5.8865	NA	NA	NA	NA	NA	NA
114	2012-07-20	20	7	2012	48	NA	0	1.3	7.52	5.94	NA	8.07	0	0	294	13	30.125	NA	5.8	NA	NA	30	30	0	13.975	NA	NA	NA	NA	NA	NA
114	2012-07-20	20	7	2012	48	NA	0	1.33	7.49	6.14	NA	8.21	5.077	0	312	20	40.945	NA	5.1	NA	NA	40	40	0	26.641	NA	NA	NA	NA	NA	NA
114	2012-07-20	20	7	2012	48	NA	0	1.72	7.45	6.29	NA	7.79	0.715	0	300	25	45.28	NA	4.9	NA	NA	47	47	0	27.5705	NA	NA	NA	NA	NA	NA
114	2012-08-03	3	8	2012	48	4	0	0.75	8.16	5.7	NA	10.19	14.1325	0	320	2	18.42	NA	14.1	NA	NA	0	0	0.95	2	NA	NA	NA	NA	NA	NA
114	2012-08-03	3	8	2012	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.4	14.1	NA	NA	0	4	NA	NA	NA	NA	NA	NA	NA	NA
114	2012-08-03	3	8	2012	48	NA	0	0.77	8.12	5.66	NA	10.54	5.891	0	320	2	18.16	NA	15.3	NA	NA	5	5	0	5	NA	NA	NA	NA	NA	NA
